year,UTAH MALE/Predictions
1994,348
1996,396
1998,373
2000,453
2002,439
2004,547
2006,446
2008,495
2010,514
2012,543
2014,539
2016,700
2018,691
2020,699
2022,707
2024,733
2026,759
2028,785
2030,811
