year,LOUISIANA HISPANIC ORIGIN/Predictions
1994,32
1996,24
1998,681
2000,38
2002,63
2004,19
2006,33
2008,39
2010,42
2012,57
2014,57
2016,99
2018,56
2020,84
2022,28
2024,19
2026,10
2028,1
2030,-7
