year,WISCONSIN WHITE/Predictions
1994,2713
1996,2772
1998,14
2000,2815
2002,2605
2004,3019
2006,2748
2008,2881
2010,2723
2012,3030
2014,2791
2016,3130
2018,2883
2020,3119
2022,3249
2024,3327
2026,3406
2028,3485
2030,3563
