year,NEW HAMPSHIRE HISPANIC ORIGIN/Predictions
1994,1
1996,3
1998,1
2000,4
2002,6
2004,5
2006,6
2008,11
2010,5
2012,15
2014,15
2016,9
2018,18
2020,19
2022,18
2024,19
2026,20
2028,22
2030,23
