year,KANSAS BLACK/Predictions
1994,44
1996,63
1998,1150
2000,72
2002,62
2004,64
2006,55
2008,68
2010,52
2012,64
2014,73
2016,75
2018,65
2020,69
2022,-12
2024,-33
2026,-53
2028,-74
2030,-94
