year,LOUISIANA TOTAL/Predictions
1994,2126
1996,2275
1998,2261
2000,2369
2002,2276
2004,2413
2006,2179
2008,2393
2010,2425
2012,2498
2014,2398
2016,2446
2018,2263
2020,2286
2022,2414
2024,2425
2026,2437
2028,2448
2030,2459
