year,MASSACHUSETTS BLACK/Predictions
1994,120
1996,125
1998,2830
2000,173
2002,176
2004,148
2006,122
2008,145
2010,109
2012,228
2014,141
2016,266
2018,240
2020,165
2022,5
2024,-41
2026,-88
2028,-134
2030,-181
