year,DISTRICT OF COLUMBIA BLACK/Predictions
1994,194
1996,199
1998,78
2000,190
2002,179
2004,163
2006,148
2008,173
2010,146
2012,191
2014,164
2016,184
2018,163
2020,202
2022,178
2024,179
2026,180
2028,181
2030,182
