year,HAWAII MALE/Predictions
1994,202
1996,220
1998,222
2000,183
2002,205
2004,228
2006,231
2008,250
2010,226
2012,256
2014,243
2016,249
2018,237
2020,333
2022,281
2024,287
2026,293
2028,299
2030,305
