year,MISSISSIPPI WHITE/Predictions
1994,831
1996,942
1998,8
2000,1006
2002,954
2004,965
2006,909
2008,982
2010,970
2012,1094
2014,964
2016,1070
2018,956
2020,1054
2022,1123
2024,1152
2026,1181
2028,1209
2030,1238
