year,OKLAHOMA FEMALE/Predictions
1994,850
1996,941
1998,841
2000,918
2002,882
2004,937
2006,943
2008,931
2010,847
2012,970
2014,890
2016,971
2018,953
2020,1028
2022,980
2024,988
2026,996
2028,1004
2030,1012
