year,PENNSYLVANIA TOTAL/Predictions
1994,5317
1996,5902
1998,5452
2000,5847
2002,5762
2004,6481
2006,5991
2008,6451
2010,6031
2012,6795
2014,6121
2016,6909
2018,6469
2020,7337
2022,7058
2024,7172
2026,7286
2028,7400
2030,7513
