year,UNITED STATES FEMALE/Predictions
1994,63257
1996,67989
1998,65445
2000,69193
2002,68732
2004,75663
2006,72422
2008,78069
2010,72926
2012,81743
2014,76019
2016,83835
2018,81340
2020,88968
2022,87161
2024,88825
2026,90488
2028,92152
2030,93815
