year,MINNESOTA FEMALE/Predictions
1994,1383
1996,1381
1998,1393
2000,1431
2002,1517
2004,1608
2006,1477
2008,1537
2010,1415
2012,1589
2014,1476
2016,1598
2018,1570
2020,1746
2022,1653
2024,1673
2026,1692
2028,1711
2030,1731
