year,ARIZONA BLACK/Predictions
1994,35
1996,68
1998,1622
2000,53
2002,53
2004,81
2006,75
2008,121
2010,122
2012,122
2014,120
2016,165
2018,114
2020,205
2022,55
2024,35
2026,14
2028,-6
2030,-26
