year,NORTH CAROLINA BLACK/Predictions
1994,649
1996,660
1998,2677
2000,827
2002,686
2004,874
2006,785
2008,971
2010,871
2012,1279
2014,1040
2016,1191
2018,1110
2020,1166
2022,1104
2024,1110
2026,1117
2028,1123
2030,1130
