year,NEVADA HISPANIC ORIGIN/Predictions
1994,27
1996,31
1998,40
2000,53
2002,65
2004,83
2006,92
2008,131
2010,103
2012,181
2014,189
2016,234
2018,212
2020,268
2022,262
2024,280
2026,299
2028,318
2030,336
