year,DELAWARE FEMALE/Predictions
1994,163
1996,184
1998,179
2000,211
2002,216
2004,225
2006,218
2008,243
2010,228
2012,252
2014,236
2016,271
2018,258
2020,296
2022,289
2024,297
2026,305
2028,313
2030,322
