year,NEW YORK HISPANIC ORIGIN/Predictions
1994,476
1996,679
1998,1006
2000,603
2002,674
2004,754
2006,682
2008,836
2010,830
2012,983
2014,995
2016,1044
2018,963
2020,991
2022,1067
2024,1099
2026,1132
2028,1164
2030,1197
