year,NEVADA TOTAL/Predictions
1994,538
1996,694
1998,606
2000,720
2002,775
2004,965
2006,905
2008,1147
2010,996
2012,1176
2014,1088
2016,1371
2018,1277
2020,1455
2022,1476
2024,1542
2026,1608
2028,1674
2030,1741
