year,MISSOURI HISPANIC ORIGIN/Predictions
1994,15
1996,30
1998,232
2000,13
2002,21
2004,50
2006,58
2008,25
2010,37
2012,71
2014,28
2016,59
2018,53
2020,127
2022,65
2024,66
2026,67
2028,68
2030,69
