year,ARKANSAS HISPANIC ORIGIN/Predictions
1994,5
1996,2
1998,165
2000,5
2002,23
2004,10
2006,15
2008,8
2010,14
2012,16
2014,20
2016,29
2018,43
2020,30
2022,21
2024,20
2026,19
2028,18
2030,18
