year,DISTRICT OF COLUMBIA WHITE/Predictions
1994,101
1996,91
1998,6
2000,102
2002,112
2004,122
2006,116
2008,139
2010,134
2012,180
2014,176
2016,209
2018,207
2020,229
2022,231
2024,243
2026,256
2028,268
2030,281
