year,GEORGIA TOTAL/Predictions
1994,2819
1996,3506
1998,3462
2000,3528
2002,3737
2004,3948
2006,3950
2008,4624
2010,4076
2012,4767
2014,4306
2016,4892
2018,4840
2020,5233
2022,5283
2024,5439
2026,5594
2028,5749
2030,5904
