year,WASHINGTON BLACK/Predictions
1994,62
1996,38
1998,2456
2000,62
2002,71
2004,80
2006,43
2008,57
2010,60
2012,103
2014,74
2016,116
2018,155
2020,136
2022,-55
2024,-96
2026,-137
2028,-178
2030,-219
