year,COLORADO BLACK/Predictions
1994,78
1996,42
1998,1922
2000,74
2002,70
2004,67
2006,49
2008,85
2010,82
2012,75
2014,75
2016,124
2018,73
2020,102
2022,-45
2024,-79
2026,-113
2028,-147
2030,-181
