year,WASHINGTON TOTAL/Predictions
1994,2636
1996,2840
1998,2622
2000,2852
2002,2901
2004,3133
2006,3090
2008,3299
2010,3367
2012,3533
2014,3281
2016,3906
2018,3852
2020,4029
2022,4027
2024,4132
2026,4238
2028,4343
2030,4448
