year,OKLAHOMA BLACK/Predictions
1994,107
1996,147
1998,1295
2000,66
2002,124
2004,118
2006,100
2008,142
2010,111
2012,116
2014,96
2016,139
2018,90
2020,123
2022,22
2024,0
2026,-23
2028,-47
2030,-70
