year,RHODE ISLAND BLACK/Predictions
1994,17
1996,11
1998,460
2000,14
2002,16
2004,19
2006,21
2008,29
2010,18
2012,33
2014,28
2016,42
2018,26
2020,39
2022,3
2024,-3
2026,-9
2028,-16
2030,-23
