year,UTAH WHITE/Predictions
1994,721
1996,847
1998,25
2000,934
2002,901
2004,1120
2006,910
2008,1017
2010,1064
2012,1089
2014,1064
2016,1339
2018,1385
2020,1368
2022,1445
2024,1506
2026,1568
2028,1629
2030,1690
