year,WASHINGTON HISPANIC ORIGIN/Predictions
1994,21
1996,54
1998,40
2000,71
2002,63
2004,56
2006,97
2008,160
2010,110
2012,172
2014,169
2016,292
2018,267
2020,296
2022,292
2024,313
2026,334
2028,355
2030,377
