year,ALABAMA HISPANIC ORIGIN/Predictions
1994,8
1996,8
1998,621
2000,12
2002,10
2004,2
2006,13
2008,4
2010,34
2012,12
2014,17
2016,32
2018,26
2020,35
2022,-16
2024,-26
2026,-36
2028,-47
2030,-57
