year,MISSOURI WHITE/Predictions
1994,2500
1996,2730
1998,20
2000,2649
2002,2605
2004,2865
2006,2772
2008,2799
2010,2622
2012,2923
2014,2788
2016,2886
2018,2887
2020,2935
2022,3147
2024,3224
2026,3301
2028,3378
2030,3455
