year,UNITED STATES MALE/Predictions
1994,55737
1996,59672
1998,57659
2000,60356
2002,59422
2004,66406
2006,63425
2008,68242
2010,64337
2012,71414
2014,66147
2016,73761
2018,71726
2020,79340
2022,76811
2024,78313
2026,79816
2028,81318
2030,82820
