year,WASHINGTON WHITE/Predictions
1994,2499
1996,2686
1998,64
2000,2656
2002,2709
2004,2722
2006,2749
2008,2932
2010,3028
2012,2987
2014,2819
2016,3403
2018,3219
2020,3452
2022,3564
2024,3679
2026,3793
2028,3907
2030,4021
