year,ARKANSAS WHITE/Predictions
1994,914
1996,972
1998,3
2000,916
2002,1025
2004,1106
2006,1115
2008,1125
2010,1050
2012,1148
2014,1076
2016,1196
2018,1031
2020,1139
2022,1248
2024,1283
2026,1318
2028,1353
2030,1388
