year,OREGON TOTAL/Predictions
1994,1688
1996,1746
1998,1635
2000,1714
2002,1718
2004,2049
2006,1924
2008,1961
2010,2005
2012,2086
2014,2008
2016,2147
2018,2274
2020,2590
2022,2395
2024,2452
2026,2509
2028,2566
2030,2623
