year,NEVADA WHITE/Predictions
1994,480
1996,638
1998,28
2000,625
2002,698
2004,844
2006,762
2008,942
2010,819
2012,947
2014,846
2016,1076
2018,1009
2020,1072
2022,1167
2024,1220
2026,1273
2028,1326
2030,1379
