year,HAWAII HISPANIC ORIGIN/Predictions
1994,5
1996,14
1998,6
2000,13
2002,7
2004,23
2006,25
2008,17
2010,39
2012,33
2014,31
2016,43
2018,34
2020,35
2022,43
2024,46
2026,49
2028,51
2030,54
