year,PENNSYLVANIA HISPANIC ORIGIN/Predictions
1994,70
1996,95
1998,469
2000,99
2002,109
2004,95
2006,119
2008,189
2010,155
2012,225
2014,260
2016,279
2018,218
2020,305
2022,268
2024,278
2026,289
2028,299
2030,309
