year,CONNECTICUT FEMALE/Predictions
1994,925
1996,913
1998,861
2000,828
2002,922
2004,919
2006,891
2008,931
2010,874
2012,949
2014,903
2016,965
2018,921
2020,1008
2022,958
2024,964
2026,970
2028,976
2030,982
