year,KENTUCKY HISPANIC ORIGIN/Predictions
1994,9
1996,3
1998,78
2000,19
2002,7
2004,18
2006,14
2008,13
2010,8
2012,20
2014,34
2016,44
2018,15
2020,30
2022,26
2024,26
2026,27
2028,27
2030,28
