year,CALIFORNIA FEMALE/Predictions
1994,6668
1996,6765
1998,6431
2000,6891
2002,6427
2004,7498
2006,6938
2008,7937
2010,7160
2012,8111
2014,7491
2016,8433
2018,8318
2020,9452
2022,8848
2024,9033
2026,9217
2028,9401
2030,9586
