year,MONTANA MALE/Predictions
1994,216
1996,236
1998,227
2000,224
2002,229
2004,252
2006,254
2008,247
2010,250
2012,263
2014,250
2016,287
2018,279
2020,322
2022,297
2024,303
2026,309
2028,315
2030,321
