year,ALASKA BLACK/Predictions
1994,7
1996,6
1998,247
2000,7
2002,5
2004,9
2006,7
2008,10
2010,13
2012,10
2014,9
2016,10
2018,9
2020,11
2022,-7
2024,-11
2026,-15
2028,-20
2030,-24
