year,ARKANSAS FEMALE/Predictions
1994,593
1996,630
1998,642
2000,612
2002,671
2004,723
2006,692
2008,734
2010,687
2012,739
2014,700
2016,777
2018,660
2020,720
2022,751
2024,760
2026,769
2028,778
2030,787
