year,NORTH DAKOTA MALE/Predictions
1994,203
1996,204
1998,203
2000,202
2002,188
2004,199
2006,192
2008,189
2010,177
2012,192
2014,180
2016,216
2018,194
2020,217
2022,196
2024,196
2026,196
2028,196
2030,196
