year,WEST VIRGINIA BLACK/Predictions
1994,29
1996,19
1998,859
2000,29
2002,15
2004,23
2006,18
2008,21
2010,22
2012,23
2014,17
2016,27
2018,19
2020,26
2022,-42
2024,-59
2026,-76
2028,-92
2030,-109
