year,ILLINOIS TOTAL/Predictions
1994,5434
1996,5819
1998,5530
2000,5911
2002,5781
2004,6437
2006,5779
2008,6151
2010,5823
2012,6425
2014,5716
2016,6665
2018,6068
2020,6590
2022,6476
2024,6539
2026,6601
2028,6663
2030,6726
