year,INDIANA TOTAL/Predictions
1994,2329
1996,2904
1998,2702
2000,3000
2002,2829
2004,3031
2006,2946
2008,3105
2010,2838
2012,3270
2014,3048
2016,3298
2018,3131
2020,3412
2022,3385
2024,3438
2026,3491
2028,3544
2030,3596
