year,VERMONT TOTAL/Predictions
1994,307
1996,313
1998,316
2000,330
2002,341
2004,354
2006,345
2008,345
2010,356
2012,357
2014,324
2016,351
2018,343
2020,365
2022,362
2024,366
2026,369
2028,372
2030,375
