year,CONNECTICUT BLACK/Predictions
1994,94
1996,126
1998,1503
2000,161
2002,147
2004,135
2006,128
2008,133
2010,132
2012,164
2014,121
2016,157
2018,158
2020,192
2022,63
2024,39
2026,16
2028,-7
2030,-30
