year,CALIFORNIA HISPANIC ORIGIN
1994,1427
1996,1641
1998,962
2000,1919
2002,2017
2004,2455
2006,2481
2008,3263
2010,3025
2012,3684
2014,3294
2016,3882
2018,4211
2020,5014
