year,NORTH CAROLINA FEMALE
1994,1721
1996,1932
1998,1848
2000,2026
2002,1982
2004,2334
2006,2270
2008,2671
2010,2410
2012,2894
2014,2601
2016,2780
2018,2776
2020,2783
