year,MASSACHUSETTS WHITE
1994,2842
1996,2875
1998,47
2000,3047
2002,2980
2004,3234
2006,2945
2008,3026
2010,3037
2012,3331
2014,2980
2016,3229
2018,2934
2020,3174
