year,TEXAS HISPANIC ORIGIN
1994,1553
1996,1623
1998,1003
2000,1905
2002,2014
2004,2170
2006,2160
2008,2441
2010,2334
2012,2652
2014,2255
2016,2654
2018,2843
2020,3538
