year,MASSACHUSETTS MALE
1994,1374
1996,1390
1998,1425
2000,1519
2002,1445
2004,1641
2006,1471
2008,1583
2010,1486
2012,1750
2014,1485
2016,1767
2018,1556
2020,1656
