year,MISSISSIPPI TOTAL
1994,1353
1996,1389
1998,1446
2000,1465
2002,1400
2004,1510
2006,1437
2008,1589
2010,1532
2012,1794
2014,1628
2016,1725
2018,1599
2020,1749
