year,MISSISSIPPI HISPANIC ORIGIN
1994,2.0
1996,3.0
1998,478.0
2000,13.0
2002,8.0
2004,16.0
2006,
2008,10.0
2010,5.0
2012,5.0
2014,17.0
2016,18.0
2018,16.0
2020,34.0
