year,MASSACHUSETTS TOTAL
1994,2993
1996,3040
1998,2947
2000,3244
2002,3198
2004,3483
2006,3180
2008,3293
2010,3230
2012,3759
2014,3250
2016,3660
2018,3345
2020,3546
