year,MASSACHUSETTS FEMALE
1994,1619
1996,1650
1998,1522
2000,1725
2002,1752
2004,1842
2006,1710
2008,1710
2010,1743
2012,2009
2014,1765
2016,1893
2018,1789
2020,1891
