year,PENNSYLVANIA FEMALE
1994,2787
1996,3031
1998,2884
2000,3011
2002,3001
2004,3429
2006,3165
2008,3436
2010,3220
2012,3578
2014,3276
2016,3709
2018,3414
2020,3848
