year,NORTH CAROLINA TOTAL
1994,3173
1996,3673
1998,3468
2000,3720
2002,3662
2004,4292
2006,4160
2008,4902
2010,4455
2012,5295
2014,4779
2016,5194
2018,5160
2020,5161
