year,PENNSYLVANIA MALE
1994,2531
1996,2871
1998,2569
2000,2836
2002,2760
2004,3052
2006,2826
2008,3014
2010,2812
2012,3217
2014,2845
2016,3199
2018,3056
2020,3489
